run,iteration,topic,num_rel,num_rel_ret,recip_rank,P_5,P_10,P_20,infAP,ndcg,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,map_cut_5,map_cut_10,map_cut_20,success_1,success_5,success_10
xaaaaaxaa,1,1,5,5,0.5000,0.8000,0.5000,0.2500,0.7100,0.7817,0.6608,0.7817,0.7817,0.5433,0.7100,0.7100,0.0000,1.0000,1.0000
aaxaxaaxa,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.8262,0.9331,0.6992,0.9331,0.9331,0.5500,0.8262,0.8262,1.0000,1.0000,1.0000
xxaxaa,1,1,5,3,0.3333,0.4000,0.3000,0.1500,0.2467,0.4216,0.3008,0.4216,0.4216,0.1467,0.2467,0.2467,0.0000,1.0000,1.0000
aaaxxx,1,1,5,3,1.0000,0.6000,0.3000,0.1500,0.6000,0.7227,0.7227,0.7227,0.7227,0.6000,0.6000,0.6000,1.0000,1.0000,1.0000
xxaxaaxaxx,1,all,5,4,0.3333,0.4000,0.4000,0.2000,0.3467,0.5286,0.3008,0.5286,0.5286,0.1467,0.3467,0.3467,0.0000,1.0000,1.0000
aaaxaaxxa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.9267,0.9747,0.8539,0.9747,0.9747,0.7600,0.9267,0.9267,1.0000,1.0000,1.0000
axaax,1,1,5,3,1.0000,0.6000,0.3000,0.1500,0.4833,0.6548,0.6548,0.6548,0.6548,0.4833,0.4833,0.4833,1.0000,1.0000,1.0000
aaxaaa,1,1,5,5,1.0000,0.8000,0.5000,0.2500,0.8767,0.9512,0.8304,0.9512,0.9512,0.7100,0.8767,0.8767,1.0000,1.0000,1.0000
aaaxaxxxaa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8711,0.9560,0.8539,0.9560,0.9560,0.7600,0.8711,0.8711,1.0000,1.0000,1.0000
xxxxxxxaxa,1,all,5,2,0.1250,0.0000,0.2000,0.1000,0.0650,0.2050,0.0000,0.2050,0.2050,0.0000,0.0650,0.0650,0.0000,0.0000,1.0000
aaxxxxxxxa,1,all,5,3,1.0000,0.4000,0.3000,0.1500,0.4600,0.6512,0.5531,0.6512,0.6512,0.4000,0.4600,0.4600,1.0000,1.0000,1.0000
aaaaaaaaxa,1,1,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
aaaaaaaxxx,1,all,5,5,1.0000,1.0000,0.5000,0.2500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
aaxxxaxxa,1,1,5,4,1.0000,0.4000,0.4000,0.2000,0.5889,0.7761,0.5531,0.7761,0.7761,0.4000,0.5889,0.5889,1.0000,1.0000,1.0000
aaxxxx,1,all,5,2,1.0000,0.4000,0.2000,0.1000,0.4000,0.5531,0.5531,0.5531,0.5531,0.4000,0.4000,0.4000,1.0000,1.0000,1.0000
axaaxaax,1,1,5,5,1.0000,0.6000,0.5000,0.2500,0.7595,0.8887,0.6548,0.8887,0.8887,0.4833,0.7595,0.7595,1.0000,1.0000,1.0000
xaxxxxaaxx,1,1,5,3,0.5000,0.2000,0.3000,0.1500,0.2321,0.4340,0.2140,0.4340,0.4340,0.1000,0.2321,0.2321,0.0000,1.0000,1.0000
xaxxaxxaaa,1,all,5,5,0.5000,0.4000,0.5000,0.2500,0.4439,0.6523,0.3452,0.6523,0.6523,0.1800,0.4439,0.4439,0.0000,1.0000,1.0000
