iteration,dimensions,metric,mu,m_ij,set_ij,m_set_ij
6,p,nsDCG,0.7096998758802457,58528.0,66885.0,54694.0
6,p,alpha-nDCG,0.7261706133447331,58528.0,66885.0,55322.0
6,p,nERR-IA,0.7180112026102671,58528.0,66885.0,55010.0
6,p,rbu_0.990_0.050,0.4918986318229208,58528.0,66885.0,47030.0
6,strec,act,0.5440056421751654,58528.0,81958.0,59748.0
6,strec,nct,0.5282489400500893,58528.0,81958.0,59099.0
6,strec,nEU,0.3315353602503999,58528.0,81958.0,51566.0
6,strec,nsDCG,0.613120400747903,58528.0,81958.0,62680.0
6,strec,alpha-nDCG,0.6425332567061809,58528.0,81958.0,63971.0
6,strec,nERR-IA,0.6181981741878063,58528.0,81958.0,62901.0
6,strec,rbu_0.990_0.050,0.2118577192746233,58528.0,81958.0,47461.0
6,ttime,act,-0.023185575182132618,58528.0,59338.0,29196.0
6,ttime,nct,0.23422939658362538,58528.0,59338.0,34899.0
6,ttime,nEU,0.026595098163866557,58528.0,59338.0,30221.0
6,ttime,nsDCG,-0.4706041229742712,58528.0,59338.0,21411.0
6,ttime,alpha-nDCG,-0.3522841557855098,58528.0,59338.0,23241.0
6,ttime,nERR-IA,-0.2918642187879556,58528.0,59338.0,24235.0
6,ttime,rbu_0.990_0.050,0.4614857238646003,58528.0,59338.0,40853.0
6,strec+p,act,0.7755973492303385,58528.0,62242.0,53276.0
6,strec+p,nct,0.7793565177477112,58528.0,62242.0,53415.0
6,strec+p,nEU,0.4876965634591019,58528.0,62242.0,43638.0
6,strec+p,nsDCG,0.7850980318922959,58528.0,62242.0,53628.0
6,strec+p,alpha-nDCG,0.8078382846755632,58528.0,62242.0,54480.0
6,strec+p,nERR-IA,0.785124933540504,58528.0,62242.0,53629.0
6,strec+p,rbu_0.990_0.050,0.4751452466254707,58528.0,62242.0,43260.0
6,strec+ttime,act,0.6162351294243295,58528.0,32933.0,25241.0
